epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.666,1.71258,2.90191,1.75766,0.0082,0.69001,0.28176,0.14777,1.70677,3.27351,1.85258,8.335e-05,8.335e-05,8.335e-05
2,291.245,1.59505,2.70176,1.64016,0.00797,0.67612,0.34679,0.17917,1.72111,3.2317,1.8178,0.000177319,0.000177319,0.000177319
3,353.902,1.70522,2.32889,1.72837,0.00827,0.6974,0.34933,0.1606,1.79504,3.0965,1.81615,0.000264686,0.000264686,0.000264686
4,416.045,1.57539,2.08948,1.6246,0.63764,0.10544,0.38292,0.18948,1.76975,2.92175,1.81609,0.000345452,0.000345452,0.000345452
5,509.943,1.56069,1.99653,1.67424,0.81248,0.15771,0.36536,0.15456,1.87974,2.93833,2.00822,0.000419617,0.000419617,0.000419617
1,6.21535,2.42171,3.7792,1.79311,0.01807,0.51921,0.11374,0.05059,1.83803,3.37385,1.32961,0.0001667,0.0001667,0.0001667
2,10.7827,2.19379,3.55667,1.63409,0.01913,0.5331,0.14117,0.06149,2.03754,3.27472,1.35528,0.000326965,0.000326965,0.000326965
3,14.7898,2.20405,3.27195,1.57246,0.01749,0.50857,0.1453,0.05825,2.13227,3.20519,1.40168,0.000463026,0.000463026,0.000463026
4,20.1771,2.21117,2.98786,1.56768,0.01916,0.55437,0.21013,0.06738,2.13506,2.95878,1.40929,0.000574882,0.000574882,0.000574882
5,24.4823,2.16637,2.85486,1.54581,0.50672,0.17169,0.2127,0.0805,2.22896,2.64971,1.58905,0.000662532,0.000662532,0.000662532
6,28.4357,2.20892,2.32309,1.57003,0.364,0.30574,0.24544,0.08746,2.25494,2.22907,1.76202,0.000725979,0.000725979,0.000725979
7,32.4416,2.06393,2.02827,1.45619,0.48174,0.31885,0.29277,0.0978,2.37394,1.94153,1.78258,0.00076522,0.00076522,0.00076522
8,36.3011,2.11097,2.02593,1.49674,0.40141,0.36466,0.28316,0.10709,2.34771,1.93118,1.80352,0.000780256,0.000780256,0.000780256
9,40.1021,1.94374,1.9006,1.4445,0.3411,0.35727,0.2374,0.08906,2.25094,2.20398,1.73626,0.000771088,0.000771088,0.000771088
10,44.0466,2.02487,1.93497,1.46746,0.40094,0.29019,0.22488,0.09397,2.11292,2.32525,1.63346,0.000676802,0.000676802,0.000676802
11,47.9444,1.90342,1.86059,1.4083,0.34024,0.36377,0.2375,0.0981,2.04469,2.45817,1.59071,0.00056678,0.00056678,0.00056678
12,52.0957,1.83781,1.81513,1.40342,0.36166,0.34988,0.23573,0.09034,2.13175,2.52683,1.56877,0.000456758,0.000456758,0.000456758
13,56.2725,1.88722,1.80881,1.38991,0.32442,0.34249,0.23956,0.09568,2.17129,2.38147,1.57082,0.000346736,0.000346736,0.000346736
14,60.1091,1.86086,1.76428,1.36101,0.32616,0.32509,0.24596,0.09582,2.21788,2.19961,1.59196,0.000236714,0.000236714,0.000236714
15,63.4701,1.91963,1.78815,1.45181,0.34686,0.34045,0.26922,0.10208,2.26058,1.98225,1.5899,0.000126692,0.000126692,0.000126692
1,55.0874,1.72736,2.84426,1.79145,0.00798,0.67612,0.3479,0.1723,1.50736,3.21812,1.75346,0.0001667,0.0001667,0.0001667
2,104.523,1.61814,2.44394,1.66634,0.00814,0.68676,0.40137,0.21567,1.53658,3.00654,1.7794,0.000326965,0.000326965,0.000326965
3,149.84,1.65554,2.15502,1.66639,0.76111,0.13978,0.37737,0.1858,1.71218,2.85432,1.83918,0.000463026,0.000463026,0.000463026
4,199.374,1.66404,2.15544,1.75509,0.82885,0.16225,0.40098,0.16162,1.89948,2.84308,2.07879,0.000574882,0.000574882,0.000574882
5,253.82,1.60984,2.04538,1.72542,0.66307,0.27971,0.37604,0.1499,2.00044,2.69134,2.12402,0.000662532,0.000662532,0.000662532
6,298.346,1.8406,2.53492,1.99696,0.32051,0.31885,0.21631,0.06793,2.17764,2.87785,2.41193,0.000725979,0.000725979,0.000725979
7,344.034,1.6213,2.33761,1.80369,0.43987,0.45863,0.35154,0.14588,1.99903,2.50616,2.15033,0.00076522,0.00076522,0.00076522
8,389.285,1.68799,2.25501,1.78669,0.49489,0.45599,0.39765,0.1595,2.04843,2.40999,2.19793,0.000780256,0.000780256,0.000780256
9,433.599,1.51607,2.12197,1.71214,0.57589,0.34013,0.37084,0.15918,1.97866,2.60583,2.17884,0.000771088,0.000771088,0.000771088
10,478.534,1.51335,2.15653,1.69173,0.58073,0.47991,0.43031,0.18945,1.96356,2.39258,2.19263,0.000676802,0.000676802,0.000676802
11,523.199,1.53616,2.08475,1.6479,0.58518,0.46602,0.4561,0.20876,1.84949,2.32496,2.06942,0.00056678,0.00056678,0.00056678
12,570.392,1.42467,1.95662,1.60366,0.73055,0.48107,0.53063,0.21669,1.97292,2.17077,2.16188,0.000456758,0.000456758,0.000456758
13,615.008,1.37,1.89385,1.57409,0.7279,0.4734,0.54183,0.21539,2.0118,2.13454,2.18925,0.000346736,0.000346736,0.000346736
14,659.808,1.3718,1.99562,1.6105,0.7037,0.49271,0.54728,0.21724,1.99277,2.07754,2.20785,0.000236714,0.000236714,0.000236714
15,704.726,1.40309,1.82433,1.54106,0.69151,0.52171,0.54809,0.23595,1.93342,2.05253,2.16583,0.000126692,0.000126692,0.000126692
1,84.2103,1.71258,2.90191,1.75766,0.0082,0.69001,0.28176,0.14777,1.70677,3.27351,1.85258,8.335e-05,8.335e-05,8.335e-05
2,263.009,1.59505,2.70176,1.64016,0.00797,0.67612,0.34679,0.17917,1.72111,3.2317,1.8178,0.000177319,0.000177319,0.000177319
3,326.696,1.70522,2.32889,1.72837,0.00827,0.6974,0.34933,0.1606,1.79504,3.0965,1.81615,0.000264686,0.000264686,0.000264686
4,381.409,1.57539,2.08948,1.6246,0.63764,0.10544,0.38292,0.18948,1.76975,2.92175,1.81609,0.000345452,0.000345452,0.000345452
5,495.888,1.56069,1.99653,1.67424,0.81248,0.15771,0.36536,0.15456,1.87974,2.93833,2.00822,0.000419617,0.000419617,0.000419617
6,631.729,1.54635,1.87283,1.63997,0.73578,0.20743,0.3346,0.1281,2.00937,2.97247,2.12356,0.000487181,0.000487181,0.000487181
7,792.378,1.43725,1.88125,1.63584,0.46062,0.25931,0.3275,0.12267,2.06525,2.85462,2.16026,0.000548143,0.000548143,0.000548143
8,877.988,1.40021,1.93365,1.55892,0.51278,0.38416,0.39218,0.15759,2.17053,2.62884,2.25015,0.000602504,0.000602504,0.000602504
9,955.427,1.47535,1.78802,1.58348,0.48325,0.43158,0.35329,0.14197,2.16121,2.60852,2.21018,0.000650263,0.000650263,0.000650263
10,1025.7,1.4521,1.81341,1.62063,0.49365,0.35077,0.35178,0.14245,2.06382,2.56172,2.16813,0.000691422,0.000691422,0.000691422
11,1084.47,1.3924,1.76873,1.52223,0.39449,0.27027,0.26513,0.08017,2.25025,2.83798,2.40807,0.000725979,0.000725979,0.000725979
12,1138.23,1.5128,1.83544,1.64655,0.22277,0.34013,0.20555,0.0648,2.40083,4.23536,2.68948,0.000753934,0.000753934,0.000753934
13,1188.54,1.43633,1.62555,1.59543,0.70654,0.21332,0.27055,0.10306,2.31297,3.32774,2.65727,0.000775288,0.000775288,0.000775288
14,1239.64,1.49697,1.64915,1.5724,0.61869,0.30171,0.31236,0.13329,2.36805,2.8245,2.73574,0.000790041,0.000790041,0.000790041
15,1295.14,1.43094,1.56999,1.53676,0.60494,0.29643,0.28614,0.11566,2.44178,2.737,2.8228,0.000798193,0.000798193,0.000798193
16,1350.42,1.35465,1.61,1.5453,0.56842,0.37943,0.38994,0.14262,2.23171,2.62317,2.46755,0.000799743,0.000799743,0.000799743
17,1459.15,1.28274,1.47775,1.45708,0.71,0.33518,0.42202,0.16709,2.13938,2.45144,2.30094,0.000786824,0.000786824,0.000786824
18,1544.56,1.32983,1.46006,1.4461,0.74495,0.33865,0.39419,0.14083,2.10222,2.49368,2.27172,0.000731813,0.000731813,0.000731813
19,1609.97,1.41071,1.49702,1.55631,0.42726,0.3622,0.3648,0.13643,2.13682,2.53409,2.32287,0.000676802,0.000676802,0.000676802
20,1670.86,1.38672,1.41983,1.45458,0.40751,0.40396,0.39251,0.13713,2.2274,2.41317,2.32652,0.000621791,0.000621791,0.000621791
21,1747.93,1.30689,1.7456,1.44722,0.43903,0.40396,0.36662,0.13823,2.25427,2.36435,2.37396,0.00056678,0.00056678,0.00056678
22,1805.86,1.34162,1.78507,1.45752,0.46701,0.35402,0.33581,0.1212,2.36182,2.51308,2.53921,0.000511769,0.000511769,0.000511769
23,1863.52,1.28519,1.65465,1.43117,0.49391,0.42379,0.35853,0.13829,2.28656,2.49627,2.43625,0.000456758,0.000456758,0.000456758
24,1915.14,1.25446,1.65678,1.4315,0.60474,0.47111,0.4623,0.17367,2.1551,2.20653,2.22426,0.000401747,0.000401747,0.000401747
25,1996.55,1.17898,1.57117,1.40086,0.60361,0.48316,0.47076,0.18311,2.10626,2.16934,2.13635,0.000346736,0.000346736,0.000346736
26,2069.04,1.09614,1.33104,1.37165,0.56184,0.47892,0.4891,0.21323,2.09567,2.11443,2.15766,0.000291725,0.000291725,0.000291725
27,2134.33,1.2931,1.57071,1.45375,0.6366,0.48316,0.52515,0.22183,2.10894,2.05642,2.19675,0.000236714,0.000236714,0.000236714
28,2274.76,1.13265,1.47085,1.34751,0.56342,0.5396,0.51314,0.22688,2.05474,2.02982,2.13225,0.000181703,0.000181703,0.000181703
29,2344.95,1.15316,1.34437,1.34956,0.59928,0.52571,0.5337,0.23172,2.04413,1.96913,2.11611,0.000126692,0.000126692,0.000126692
30,2466.91,1.10453,1.37439,1.25925,0.63998,0.5919,0.56212,0.24842,2.03246,1.91502,2.09483,7.1681e-05,7.1681e-05,7.1681e-05
